dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
Meat,gadf-features,gadf,logreg,1,0.8833333333333333,662,79.45474419998936,0.05676300000050105,0.0030712999869138002,88.53398609161377,60,60,448,3,
Meat,gadf-features,gadf,logreg,2,0.8833333333333333,662,76.37882460001856,0.04634169998462312,0.003083499992499128,88.53396511077881,60,60,448,3,
Meat,mtf-features,mtf,logreg,0,0.8833333333333333,662,76.72655520000262,0.14785249999840744,0.0034008999937213957,88.53477954864502,60,60,448,3,
Meat,mtf-features,mtf,logreg,1,0.8833333333333333,662,75.86713100000634,0.14196000000811182,0.0040074000135064125,88.53411102294922,60,60,448,3,
Meat,mtf-features,mtf,logreg,2,0.8833333333333333,662,70.00821080000605,0.08710229999269359,0.003062200004933402,88.53149318695068,60,60,448,3,
Meat,rp-features,rp,logreg,0,0.7833333333333333,662,70.17968529998325,0.05051269999239594,0.0029055000049993396,88.53462028503418,60,60,448,3,
Meat,rp-features,rp,logreg,1,0.7833333333333333,662,70.11279039998772,0.05103550001513213,0.0032167999888770282,88.53410720825195,60,60,448,3,
Meat,rp-features,rp,logreg,2,0.7833333333333333,662,69.40616000001319,0.04349089998868294,0.0016986999835353345,88.5328598022461,60,60,448,3,
Meat,ablation-gaf-intensity-only,gaf,logreg,0,0.6833333333333333,6,1.2217448000155855,0.030675499991048127,0.0024585000064689666,7.875732421875,60,60,448,3,
Meat,ablation-gaf-intensity-only,gaf,logreg,1,0.6833333333333333,6,1.1986091999860946,0.02863489999435842,0.002280100015923381,7.875732421875,60,60,448,3,
Meat,ablation-gaf-intensity-only,gaf,logreg,2,0.6833333333333333,6,1.2731803999922704,0.023506300000008196,0.0022464999929070473,7.875732421875,60,60,448,3,
Meat,ablation-gaf-texture-only,gaf,logreg,0,0.6333333333333333,268,16.838662399997702,0.045743800001218915,0.0027094999968539923,19.6489839553833,60,60,448,3,
Meat,ablation-gaf-texture-only,gaf,logreg,1,0.6333333333333333,268,16.47555000000284,0.050696599995717406,0.002780400012852624,19.649072647094727,60,60,448,3,
Meat,ablation-gaf-texture-only,gaf,logreg,2,0.6333333333333333,268,15.229443999996874,0.04727040001307614,0.002839799999492243,19.64893913269043,60,60,448,3,
MoteStrain,baseline-1nn-euclidean,raw,knn1,0,0.8785942492012779,84,0.002359600010095164,0.0037386000039987266,0.03104679999523796,1.7101287841796875,20,1252,84,2,
MoteStrain,baseline-1nn-euclidean,raw,knn1,1,0.8785942492012779,84,0.0013205999857746065,0.002553700003772974,0.019159399991622195,1.7101287841796875,20,1252,84,2,
MoteStrain,baseline-1nn-euclidean,raw,knn1,2,0.8785942492012779,84,0.0016894000000320375,0.003727300005266443,0.018618700007209554,1.7101287841796875,20,1252,84,2,
MoteStrain,baseline-raw-logreg,raw,logreg,0,0.8618210862619808,84,0.0017216999840456992,0.034700099990004674,0.004117000004043803,1.7101287841796875,20,1252,84,2,
MoteStrain,baseline-raw-logreg,raw,logreg,1,0.8618210862619808,84,0.0014003999822307378,0.03450070001417771,0.004233600018778816,1.7101287841796875,20,1252,84,2,
MoteStrain,baseline-raw-logreg,raw,logreg,2,0.8618210862619808,84,0.0011549000046215951,0.03210199999739416,0.0035672000085469335,1.7101287841796875,20,1252,84,2,
MoteStrain,gasf-features,gaf,logreg,0,0.700479233226837,662,52.112579199980246,0.024082799995085225,0.009496000013314188,13.080207824707031,20,1252,84,2,
MoteStrain,gasf-features,gaf,logreg,1,0.700479233226837,662,50.94110919997911,0.017380999983288348,0.00689390001934953,13.079190254211426,20,1252,84,2,
MoteStrain,gasf-features,gaf,logreg,2,0.700479233226837,662,49.42212780000409,0.01917649997631088,0.00627749998238869,13.079500198364258,20,1252,84,2,
MoteStrain,gadf-features,gadf,logreg,0,0.8937699680511182,662,48.477934099995764,0.02625090000219643,0.00796060002176091,13.079606056213379,20,1252,84,2,
MoteStrain,gadf-features,gadf,logreg,1,0.8937699680511182,662,41.42587199999252,0.02402720000827685,0.008074300014413893,13.076761245727539,20,1252,84,2,
MoteStrain,gadf-features,gadf,logreg,2,0.8937699680511182,662,41.74769029999152,0.02786450000712648,0.012007899989839643,13.079676628112793,20,1252,84,2,
MoteStrain,mtf-features,mtf,logreg,0,0.6701277955271565,662,43.652335000020685,0.02878469999996014,0.01639560001785867,13.080199241638184,20,1252,84,2,
MoteStrain,mtf-features,mtf,logreg,1,0.6701277955271565,662,43.02130510000279,0.03248369999346323,0.009703899995656684,13.078442573547363,20,1252,84,2,
MoteStrain,mtf-features,mtf,logreg,2,0.6701277955271565,662,43.66597279999405,0.032693799992557615,0.010548799997195601,13.080236434936523,20,1252,84,2,
